id,pkg,func
116,net,(net.IP).String
477,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.pruneSet
549,os,os.IsNotExist
1088,shared,(*go/types.Const).setOrder
1419,shared,(*net/http.Header).writeSubset
368,shared,(*github.com/muesli/termenv.Profile).FromColor
567,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.getNodeInfo
587,shared,(*net.IP).IsUnspecified
742,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).StrikethroughSpaces
925,github.com/picatz/taint,github.com/picatz/taint.checkSSAValue
1180,go/token,(go/token.Pos).IsValid
1358,shared,(context.Context).Value
1451,go/types,(go/types.goVersion).isValid
649,go/types,(go/types.TypeAndValue).IsNil
1051,go/types,(go/types.termlist).equal
1484,shared,(*github.com/charmbracelet/lipgloss.Style).PaddingRight
1532,shared,(*go/types.TypeAndValue).Addressable
161,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetVerticalPadding
372,shared,(*go/types.PkgName).Pkg
517,net,(net.IP).IsGlobalUnicast
822,shared,(*github.com/charmbracelet/lipgloss.Style).GetFaint
1223,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.getAllFunctionNames
1225,go/types,(go/types.TypeAndValue).HasOk
1559,regexp,(*regexp.Regexp).MatchString
323,github.com/go-git/go-git/v5,github.com/go-git/go-git/v5.init
442,github.com/picatz/taint/callgraphutil,(github.com/picatz/taint/callgraphutil.Path).String
616,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetBorderBackground
1089,shared,(*github.com/muesli/termenv.Style).Styled
1387,shared,(*github.com/charmbracelet/lipgloss.Style).Border
1433,shared,(*github.com/charmbracelet/lipgloss.Style).Margin
339,crypto,(crypto.Hash).Size
347,github.com/muesli/termenv,(github.com/muesli/termenv.Profile).Name
461,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.WithLogger
858,time,(time.Time).Before
1235,go/token,(go/token.Token).IsOperator
1537,shared,(*golang.org/x/tools/go/ssa.Alloc).setBlock
134,go/types,(*go/types.object).Name
288,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.InstructionsFor$1
304,shared,(*time.Time).Hour
1192,time,time.Since
1236,shared,(*go/types.Const).Pos
1428,golang.org/x/term,(*golang.org/x/term.Terminal).SetSize
1553,shared,(*go/types.Label).Pos
9,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.startShell
944,shared,(*github.com/charmbracelet/lipgloss.Style).applyBorder
1095,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).styleBorder
1282,math/big,(math/big.nat).make
384,shared,(*go/types.PkgName).Name
709,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).BorderTopForeground
729,net/textproto,(net/textproto.MIMEHeader).Set
926,shared,(*github.com/charmbracelet/lipgloss.Style).GetTransform
1447,shared,(*github.com/charmbracelet/lipgloss.props).unset
1459,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetAlignHorizontal
1496,math/big,(math/big.nat).sub
582,time,(time.Weekday).String
589,shared,(*github.com/charmbracelet/lipgloss.Style).MarginBottom
722,shared,(*github.com/picatz/taint/callgraphutil.Paths).Shortest
878,shared,(*go/types.Const).Id
980,shared,(*go/types.PkgName).Id
1401,shared,(*golang.org/x/tools/go/ssa.BuilderMode).Get
95,sync,sync.init
123,github.com/picatz/taint,github.com/picatz/taint.NewSinks
