source_pkg,source_pkg_go_version,source_pkg_origin,source_func,source_func_name,source_func_signature,target_pkg,target_pkg_go_version,target_pkg_origin,target_func,target_func_name,target_func_signature
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).getBorderStyle,getBorderStyle,func() github.com/charmbracelet/lipgloss.Border,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).getBorderStyle,getBorderStyle,func() github.com/charmbracelet/lipgloss.Border
unknown,go1.25.0,stdlib,(*go/types.Func).cmp,cmp,func(b *go/types.object) int,go/types,go1.25.0,stdlib,(*go/types.object).cmp,cmp,func(b *go/types.object) int
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).Italic,Italic,func(v bool) github.com/charmbracelet/lipgloss.Style,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).Italic,Italic,func(v bool) github.com/charmbracelet/lipgloss.Style
unknown,go1.25.0,stdlib,(*go/types.Checker).lookupScope,lookupScope,"func(name string) (*go/types.Scope, go/types.Object)",go/types,go1.25.0,stdlib,(*go/types.environment).lookupScope,lookupScope,"func(name string) (*go/types.Scope, go/types.Object)"
unknown,go1.25.0,stdlib,(*time.Time).UTC,UTC,func() time.Time,time,go1.25.0,stdlib,(time.Time).UTC,UTC,func() time.Time
unknown,go1.25.0,stdlib,(*time.Time).Nanosecond,Nanosecond,func() int,time,go1.25.0,stdlib,(time.Time).Nanosecond,Nanosecond,func() int
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).String,String,func() string,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).String,String,func() string
github.com/picatz/taint/callgraphutil,go1.24.4,github.com,github.com/picatz/taint/callgraphutil.NewGraph,NewGraph,"func(root *golang.org/x/tools/go/ssa.Function, srcFns ...*golang.org/x/tools/go/ssa.Function) (*golang.org/x/tools/go/callgraph.Graph, error)",golang.org/x/tools/go/callgraph,go1.23.0,golang.org,(*golang.org/x/tools/go/callgraph.Graph).CreateNode,CreateNode,func(fn *golang.org/x/tools/go/ssa.Function) *golang.org/x/tools/go/callgraph.Node
github.com/picatz/taint/callgraphutil,go1.24.4,github.com,github.com/picatz/taint/callgraphutil.NewGraph,NewGraph,"func(root *golang.org/x/tools/go/ssa.Function, srcFns ...*golang.org/x/tools/go/ssa.Function) (*golang.org/x/tools/go/callgraph.Graph, error)",golang.org/x/tools/go/ssa/ssautil,go1.23.0,golang.org,golang.org/x/tools/go/ssa/ssautil.AllFunctions,AllFunctions,func(prog *golang.org/x/tools/go/ssa.Program) map[*golang.org/x/tools/go/ssa.Function]bool
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).UnsetMarginTop,UnsetMarginTop,func() github.com/charmbracelet/lipgloss.Style,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).UnsetMarginTop,UnsetMarginTop,func() github.com/charmbracelet/lipgloss.Style
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",bufio,go1.25.0,stdlib,(*bufio.Writer).WriteString,WriteString,"func(s string) (int, error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",bufio,go1.25.0,stdlib,(*bufio.Writer).Flush,Flush,func() error
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",bufio,go1.25.0,stdlib,(*bufio.Writer).WriteString,WriteString,"func(s string) (int, error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",bufio,go1.25.0,stdlib,(*bufio.Writer).Flush,Flush,func() error
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.NewSources,NewSources,func(sourceTypes ...string) github.com/picatz/taint.Sources
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.NewSinks,NewSinks,func(sinkTypes ...string) github.com/picatz/taint.Sinks
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.Check,Check,"func(cg *golang.org/x/tools/go/callgraph.Graph, sources github.com/picatz/taint.Sources, sinks github.com/picatz/taint.Sinks) github.com/picatz/taint.Results"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",github.com/picatz/taint/callgraphutil,go1.24.4,github.com,(github.com/picatz/taint/callgraphutil.Path).String,String,func() string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",strings,go1.25.0,stdlib,strings.Split,Split,"func(s string, sep string) []string"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",strings,go1.25.0,stdlib,(*strings.Builder).String,String,func() string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",bufio,go1.25.0,stdlib,(*bufio.Writer).WriteString,WriteString,"func(s string) (int, error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",bufio,go1.25.0,stdlib,(*bufio.Writer).Flush,Flush,func() error
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.highlightNode,highlightNode,func(node string) string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).Render,Render,func(strs ...string) string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",strings,go1.25.0,stdlib,strings.Join,Join,"func(elems []string, sep string) string"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.init$8,init$8,"func(ctx context.Context, bt *bufio.Writer, args []string, flags map[string]string) error",strings,go1.25.0,stdlib,(*strings.Builder).WriteString,WriteString,"func(s string) (int, error)"
unknown,go1.25.0,stdlib,(*crypto/x509.SignatureAlgorithm).hashFunc,hashFunc,func() crypto.Hash,crypto/x509,go1.25.0,stdlib,(crypto/x509.SignatureAlgorithm).hashFunc,hashFunc,func() crypto.Hash
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).GetVerticalMargins,GetVerticalMargins,func() int,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).GetVerticalMargins,GetVerticalMargins,func() int
unknown,go1.25.0,stdlib,(*go/types.Label).color,color,func() go/types.color,go/types,go1.25.0,stdlib,(*go/types.object).color,color,func() go/types.color
unknown,go1.25.0,stdlib,(*net.IP).DefaultMask,DefaultMask,func() net.IPMask,net,go1.25.0,stdlib,(net.IP).DefaultMask,DefaultMask,func() net.IPMask
unknown,go1.25.0,stdlib,(*github.com/muesli/termenv.Style).String,String,func() string,github.com/muesli/termenv,go1.17,github.com,(github.com/muesli/termenv.Style).String,String,func() string
unknown,go1.25.0,stdlib,(*time.Time).AppendBinary,AppendBinary,"func(b []byte) ([]byte, error)",time,go1.25.0,stdlib,(time.Time).AppendBinary,AppendBinary,"func(b []byte) ([]byte, error)"
